x,y
-5.57000000,27.63197710
-5.56900000,27.39280597
-5.56800000,27.15535552
-5.56700000,26.91960900
-5.56600000,26.68554984
-5.56500000,26.45316168
-5.56400000,26.22242835
-5.56300000,25.99333387
-5.56200000,25.76586243
-5.56100000,25.53999844
-5.56000000,25.31572646
-5.55900000,25.09303124
-5.55800000,24.87189773
-5.55700000,24.65231104
-5.55600000,24.43425644
-5.55500000,24.21771939
-5.55400000,24.00268553
-5.55300000,23.78914065
-5.55200000,23.57707072
-5.55100000,23.36646186
-5.55000000,23.15730038
-5.54900000,22.94957271
-5.54800000,22.74326549
-5.54700000,22.53836547
-5.54600000,22.33485958
-5.54500000,22.13273492
-5.54400000,21.93197870
-5.54300000,21.73257833
-5.54200000,21.53452132
-5.54100000,21.33779537
-5.54000000,21.14238830
-5.53900000,20.94828808
-5.53800000,20.75548283
-5.53700000,20.56396081
-5.53600000,20.37371041
-5.53500000,20.18472018
-5.53400000,19.99697877
-5.53300000,19.81047501
-5.53200000,19.62519784
-5.53100000,19.44113632
-5.53000000,19.25827967
-5.52900000,19.07661722
-5.52800000,18.89613845
-5.52700000,18.71683294
-5.52600000,18.53869042
-5.52500000,18.36170073
-5.52400000,18.18585384
-5.52300000,18.01113985
-5.52200000,17.83754897
-5.52100000,17.66507154
-5.52000000,17.49369800
-5.51900000,17.32341893
-5.51800000,17.15422503
-5.51700000,16.98610710
-5.51600000,16.81905605
-5.51500000,16.65306293
-5.51400000,16.48811888
-5.51300000,16.32421516
-5.51200000,16.15165394
-5.51100000,15.98991220
-5.51000000,15.82918399
-5.50900000,15.66946103
-5.50800000,15.51073514
-5.50700000,15.35299824
-5.50600000,15.19624239
-5.50500000,15.04045971
-5.50400000,14.88564244
-5.50300000,14.73178295
-5.50200000,14.57887367
-5.50100000,14.42690716
-5.50000000,14.27587606
-5.49900000,14.12577313
-5.49800000,13.97659122
-5.49700000,13.82832328
-5.49600000,13.68096236
-5.49500000,13.53450160
-5.49400000,13.38893423
-5.49300000,13.24425361
-5.49200000,13.10045316
-5.49100000,12.95752640
-5.49000000,12.81546697
-5.48900000,12.67426857
-5.48800000,12.53392501
-5.48700000,12.39443019
-5.48600000,12.25577811
-5.48500000,12.11796285
-5.48400000,11.98097859
-5.48300000,11.84481958
-5.48200000,11.70948019
-5.48100000,11.57495487
-5.48000000,11.44123814
-5.47900000,11.30832462
-5.47800000,11.17620904
-5.47700000,11.04488619
-5.47600000,10.91435097
-5.47500000,10.78459833
-5.47400000,10.65562335
-5.47300000,10.52742117
-5.47200000,10.39998704
-5.47100000,10.27331626
-5.47000000,10.14740425
-5.46900000,10.02224650
-5.46800000,9.89783859
-5.46700000,9.77417617
-5.46600000,9.65125501
-5.46500000,9.52907092
-5.46400000,9.40761983
-5.46300000,9.28689773
